1,Despondent,"Sad, depressed","After the loss of his job, he felt despondent for weeks.",Elated
2,Diffident,"Shy, lacking self-confidence",The diffident student hesitated to speak in front of the class.,Confident
3,Discomfited,"Disappointed, defeated",She was discomfited by the sudden change in plans.,Comforted
4,Disillusionment,"Disenchantment, disappointment",The harsh reality of life led to her disillusionment with politics.,Idealism
5,Dispassionate,"Unemotional, impartial",The judge remained dispassionate throughout the heated trial.,Emotional
6,Elated,"Joyful, thrilled",He was elated when he received the acceptance letter from his dream university.,Despondent
7,Evoke,"To bring about, stir up",The old song evoked memories of her childhood.,Suppress
8,Felicitous,"Well-suited, happy",His felicitous choice of words made his speech very moving.,Inappropriate
9,Forlorn,"Sad, abandoned",The forlorn dog waited by the door for its owner to return.,Cheerful
10,Fortitude,Courage in adversity,She showed great fortitude in the face of overwhelming challenges.,Weakness
11,Furor,"Commotion, anger",The politician's comments caused a furor among the public.,Calm
12,Histrionic,Overly dramatic or emotional,Her histrionic outburst made everyone uncomfortable.,Subdued
13,Idyllic,Simple and tranquil,They spent a week at an idyllic cabin by the lake.,Chaotic
14,Impetuous,"Rash, impulsive",His impetuous decision to quit his job surprised everyone.,Cautious
15,Irate,"Angry, enraged",The customer became irate when his complaint was ignored.,Calm
16,Jaded,"Tired, bored, lacking enthusiasm","After years of working in the same job, she felt jaded and unmotivated.",Energetic
17,Jocular,"Cheerful, humorous",His jocular personality made him popular at parties.,Serious
18,Jovial,Cheerful and friendly,She was in a jovial mood after hearing the good news.,Melancholy
19,Maudlin,Overly sentimental,"He became maudlin after a few drinks, reminiscing about his past.",Unemotional
20,Melancholy,"Bleak, sad",There was a melancholy atmosphere at the funeral.,Jovial
21,Mercurial,"Fickle, changeable",Her mercurial temperament made it difficult to predict her reactions.,Stable
22,Morose,"Gloomy, sullen",He became morose after losing his job.,Cheerful
23,Peevish,Easily irritated,She became peevish when things didn't go her way.,Easy-going
24,Penchant,A strong preference,He has a penchant for collecting rare stamps.,Dislike
25,Perfunctory,Done without care or interest,His perfunctory handshake showed that he wasn't truly interested in making a connection.,"Thorough, Diligent"
