1,August,Dignified,The august presence of the queen commanded respect.,Undignified
2,Autocrat,"Dictator, dictatorial",The autocrat ruled the country with an iron fist.,Democrat
3,Automaton,A person who acts like a robot,"He worked like an automaton, without showing any emotion.",Individual
4,Banal,"Common, lacking originality",The movie was filled with banal dialogues and predictable plots.,Original
5,Bipartisanship,Supported by two opposing groups (political parties),The law was passed with surprising bipartisanship.,Partisanship
6,Depose,To remove from power,The dictator was deposed by a peaceful revolution.,Instate
7,Derivative,Not original,"His style is derivative, clearly influenced by older artists.",Innovative
8,Desecration,Violation of something sacred,The desecration of the historic site caused public outrage.,Sanctification
9,Despot,Dictator,The despot imposed strict laws and suppressed freedom.,Libertarian
10,Doctrine,"Religious, political, or philosophical principles",The political party adhered strictly to its doctrine.,Heresy
11,Dogmatic,Forcing one's own opinions on others,He was so dogmatic that he refused to listen to anyone else's ideas.,Open-minded
12,Eclectic,From diverse sources,"Her taste in music is eclectic, ranging from classical to jazz.",Narrow
13,Egalitarian,Belief in equality,She is an egalitarian who supports equal rights for all.,Elitist
14,Exhibitionistic,Deliberately attracting attention,His exhibitionistic behavior was meant to impress his peers.,Reserved
15,Faction,A group within a larger group,A faction within the party opposed the new policy.,Unity
16,Fanaticism,Excessive enthusiasm,"His fanaticism for the team made him attend every game, regardless of the weather.",Indifference
17,Hackneyed,"Common, overused",The novel's hackneyed plot made it uninteresting.,Fresh
18,Heresy,Belief contrary to the established opinion,His ideas were considered heresy by the conservative members of the church.,Orthodoxy
19,Idiosyncrasy,Unique personal trait,His habit of wearing mismatched socks was just one of his idiosyncrasies.,Conformity
20,Orthodox,"Conservative, traditional",The family followed orthodox customs passed down for generations.,Unorthodox
21,Pacifist,One who completely opposes violence,"As a pacifist, he refused to join the army.",Warmonger
22,Partisan,Biased supporter,"He is a partisan of the ruling party, rarely critical of its decisions.",Neutral
23,Piety,Religious devotion,Her piety led her to spend hours in prayer each day.,Irreverence
24,Polemical,Controversial,His polemical writing style often sparked heated debates.,Non-controversial
25,Renounce,"To formally declare one's abandonment of a claim, right, or possession","After much contemplation, he decided to renounce his membership in the club.","Embrace, Retain"
