1,Endow,"To provide, to supply","The school was endowed with state-of-the-art computers, making every student feel like a tech genius","Deprive, Withdraw"

2,Confound,To cause surprise or confusion in someone,"His ability to solve the Rubik's Cube in seconds confounded his friends, who were still stuck on step one","Clarify, Enlighten"

3,Assert,To state a fact or belief confidently and forcefully,"She asserted her right to the last piece of cake, declaring it with such conviction that no one dared challenge her","Deny, Question"

4,Undermine,To gradually damage or weaken someone or something,"The constant criticism slowly undermined his confidence, making him doubt even his best work","Strengthen, Support"

5,Paradox,A statement or situation that may be true but seems impossible or difficult to understand because it contains two opposite facts or characteristics,"It's a paradox that the more you sleep, the more tired you sometimes feel","Consistency, Certainty"

6,Apt,Appropriate or suitable in the circumstances,"His joke about the rain was apt, especially since everyone had just arrived soaking wet.","Inappropriate, Unsuitable"

7,Competent,"Having the necessary ability, knowledge, or skill to do something successfully","He was a competent mechanic, able to fix anything from a car engine to a squeaky door","Incompetent, Inept"

8,Severity,"The quality of being very unpleasant, unkind, or difficult",The severity of the storm forced everyone to stay indoors and cancel all weekend plans,"Gentleness, Softness"

9,Dismay,A feeling of shock and unhappiness,His dismay was evident when he realized the ice cream shop had just run out of his favorite flavor,"Joy, Delight"

10,Usurp,To take power or control of something by force or without the right to do so,"The knight attempted to usurp the throne, but his plan was foiled by the clever princess","Relinquish, Surrender"

11,Nostalgic,Feeling happy and also slightly sad when you think about things that happened in the past,Listening to his old favorite songs made him feel nostalgic for his high school days.,"Unsentimental, Forgetful"

12,Ornate,Having a lot of complex patterns or decoration,The ornate chandelier sparkled so much it looked like a piece of art hanging from the ceiling,"Simple, Plain"

13,Hierarchy,A system in which people or things are put at various levels or ranks according to their importance,"The office hierarchy was clear, with the boss at the top and the interns scrambling at the bottom","Equality, Disorder"

14,Irrational,Not logical or reasonable,"His irrational fear of flying made vacations complicated, especially since he lived on an island","Rational, Logical"

15,Bluster,Talk intended to seem important or threatening but which is not taken seriously and has little effect,His bluster about quitting his job was ignored by everyone-he said it at least once a week,"Calmness, Quietness"

16,Subordinate,Having a lower or less important position,"In the company, the interns were seen as subordinate to the full-time staff, even though they worked just as hard","Superior, Leader"

17,Malicious,Intending to cause harm; evil,"The malicious hacker tried to steal everyone's data, but was stopped by a strong firewall.","Benevolent, Kind"

18,Amend,"To revise, to make changes",They had to amend the report several times before it was finally approved by the boss.,"Worsen, Damage"

19,Conform,To behave according to an expectation or rule,"He refused to conform to the office dress code, showing up in bright, mismatched outfits every day","Rebel, Deviate"

20,Tout,To advertise or praise something (often to sell it),The salesman touted the benefits of his product so much that it started to sound too good to be true,"Criticize, Disparage"

21,Permeate,To spread throughout something,"The smell of fresh popcorn permeated the theater, making everyone crave a snack.","Contain, Block"

22,Incantation,A series of words said as a magic spell or charm,"The wizard muttered an ancient incantation, and suddenly the broomstick started to fly on its own",Impervious

23,Impervious,"Not able to be influenced, hurt, or damaged",His thick winter coat made him impervious to the cold wind blowing across the mountain,"Vulnerable, Permeable"

24,Actuate,1) To cause (a machine or device) to operate 2) To cause (someone) to act in a particular way,"The switch actuated the alarm system, sending everyone into a panic","Deactivate, Suppress"

25,Versatility,Ability to adapt to many different functions or activities,Her versatility as an athlete meant she excelled at everything from swimming to soccer.,"Rigidity, Inflexibility"

