1,Swath,A long strip or area of something,"The farmer cut a wide swath through the field, leaving a neat row of wheat behind him.","Fragment, Patch"

2,Dabble,To try an activity in a casual way,"He likes to dabble in painting, though he's not ready to call himself an artist just yet.","Specialize, Master"

3,Earnest,Sincere and serious,His earnest apology made it clear he truly regretted his mistake,"Insincere, Flippant"

4,Vitality,"Life, energy, and strength","The dancer's vitality was contagious, filling the entire room with excitement.","Lethargy, Weakness"

5,Mimic,To imitate or copy (someone's actions or words),"The parrot loved to mimic his owner, repeating everything in a high-pitched voice.","Differ, Originate"

6,Agitate,1) To make someone troubled or nervous 2) To campaign for something in public,"The loud noises outside began to agitate the baby, who started to cry.","Calm, Soothe"

7,Practical,"Likely to succeed or be effective in real circumstances, relating to actual experience rather than knowledge only","His practical solution to the problem saved time and effort, proving his experience was valuable","Impractical, Theoretical"

8,Ominous,Suggesting something unpleasant will happen,"The dark clouds looked ominous, hinting at a storm on the way","Bright, Promising"

9,Dominion,1) Control over a country or people 2) The land that belongs to a ruler,"The king's dominion stretched across vast lands, but his people lived peacefully.","Submission, Subordination"

10,Pretense,"A false display, an attempt to deceive","Under the pretense of being friendly, he gathered information for his own gain.","Honesty, Sincerity"

11,Egocentric,Thinking only of oneself; self-centered,His egocentric attitude made him forget that his friends also had opinions and feelings.,"Altruistic, Selfless"

12,Exploit,"To make full use of (a resource), to use (a person) in an unfair or selfish way","The company was criticized for exploiting its workers, offering low pay for long hours.","Support, Nurture"

13,Comprise,To consist of or to be made up of,"The team comprises players from five different countries, making it truly international.","Exclude, Lack"

14,Plight,"A dangerous, difficult, or otherwise unfortunate situation",The plight of the stranded hikers was worsened by the sudden snowstorm,"Blessing, Advantage"

15,Exemplify,To be a typical example of something,His work ethic exemplified what it means to be a dedicated student.,"Misrepresent, Distort"

16,Momentous,Very important (in reference to a decision or event),The signing of the peace treaty was a momentous event in the nation's history.,"Trivial, Unimportant"

17,Reverberate,To continue to be heard; to echo repeatedly,"The sound of the bell reverberated through the empty halls, filling the space with a low hum.","Mute, Silence"

18,Paternal,Behaving or feeling as a father does toward his child,"His paternal instincts kicked in when he saw the child lost in the store, and he immediately offered help.","Maternal, Distant"

19,Lament,To express sadness and regret about something,"She lamented the loss of her favorite necklace, which had sentimental value.","Celebrate, Rejoice"

20,Mediation,The process by which someone tries to end a disagreement by helping the two sides to talk about and agree on a solution,The mediation between the two companies helped resolve the dispute without going to court,"Dispute, Argument"

21,Miser,Someone who has a great desire to possess money and hates to spend it,"The old miser refused to part with a single coin, even though he had more money than he could ever use","Spender, Philanthropist"

22,Supple,Bending or able to be bent easily; not stiff; flexible,The gymnast's supple body allowed her to perform moves most people could only dream of,"Rigid, Stiff"

23,Oblivious,Not aware of what is happening around you,He was so engrossed in his book that he was oblivious to the chaos happening around him.,"Aware, Attentive"

24,Sullen,Silent and unpleasant; depressed; gloomy,"After losing the game, he sat in sullen silence, refusing to talk to anyone","Cheerful, Joyful"

25,Imperative,1) Extremely important or urgent 2) Something that needs to be done immediately,"It's imperative that we finish the project by Friday, or we'll miss the deadline.","Optional, Unimportant"
