1,Honor,High respect; to regard with great respect and esteem,I'd be honored if you didn't tell my boss I'm wearing slippers.,"Shame, disgrace; dishonor"
2,Withdraw,To remove or take away; to retreat or pull back,I had to withdraw my proposal after everyone laughed.,"Remain, maintain"
3,Steer,To guide or control the direction of something,You can't steer a shopping cart that well.,"Follow, drift, misdirect"
4,Controversy in,Public disagreement or heated discussion within a topic,The biggest controversy in my house is the thermostat setting.,"Agreement, harmony"
5,Exposure to,The state of being introduced to or affected by something,My only exposure to sunshine is when I check the mail.,"Concealment, hiding"
6,Dependence on,Reliance on or need for something or someone,My dependence on snacks is becoming a problem.,"Independence, freedom"
7,Advancement in,Progress or development in a particular area,The latest advancement in science proves that snacks cure almost everything.,"Stagnation, decline"
8,Prolong,To extend the duration of something,My cat attempts to prolong mealtime by pretending she forgot how to chew for exactly three minutes after every bite.,"Shorten, abridge"
9,Soothe,To calm or relieve pain or distress,"I only use ice cream to soothe my emotional turbulence, which is why I require six scoops daily.","Aggravate, disturb"
10,Revolted,Disgusted or shocked by something,I was revolted by the sheer amount of cilantro in my dinner.,"Delighted, pleased"
11,Superior,"Higher in rank, status, or quality",My dog thinks her stick is superior to all other sticks.,"Inferior, lower"
12,Fusion,The process or result of joining two or more things together.,My dinner was a terrible fusion of leftovers and bad ideas.,"Separation, division"
13,Dismissal,The act of sending someone away or rejecting something,My cat gave me a cold dismissal when I offered wet food.,Acceptance
14,Critique,A detailed analysis and assessment,My only critique of this cookie is that it isn't infinite.,"Praise, approval"
15,Simplification,The act of making something simpler or easier to understand,My taxes need radical simplification.,Complication
16,Restate,To say something again or differently,"Just to restate, I need more pizza.","Conceal, suppress"
17,Detect,To discover or identify the presence of something,I could detect a hint of failure in my burnt toast.,"Miss, overlook"
18,Enroll,To officially register as a member or participant,"He tried to enroll in the class, but his credit card rebelled.","Withdraw, drop out"
19,Value,"The importance, worth, or usefulness of something","I place high value on my ability to nap anywhere, anytime.","Worthlessness, uselessness"
20,Disregard,"To pay no attention to, ignore","I tend to disregard any email that starts with the phrase, ""As per my last email...""","Acknowledge, heed"
21,Display,To show or exhibit,My neighbor loves to display his impressive ability to burn water.,"Hide, conceal"
22,Irrelevant to,Not related or applicable to something,My love life is completely irrelevant to the plot of this romantic comedy.,"Relevant to, connected to"
23,Captivated by,Strongly attracted or fascinated by something,I was captivated by a shiny pebble for ten whole minutes.,"Bored by, repulsed by"
24,Timeworn,"Damaged or impaired by age or use, old-fashioned",My favorite joke is so timeworn that it now requires an historical footnote.,"Brand new, fresh"
25,Spectacle,An impressive or unusual sight or display,My morning routine is a bizarre spectacle.,"Dullness, boredom"
